City,Country,lat(deg),lon(deg),Date,temp(f),humidity(%),cloudcover(%),wind(mph)
Shingu,JP,33.73,135.98,1579627957,46.13,69,0,5.97
Mersa Matruh,EG,31.35,27.25,1579627957,55.4,54,75,16.11
George Town,MY,5.41,100.34,1579627958,82.0,74,20,4.7
Alofi,NU,-19.06,-169.92,1579627958,66.2,93,29,1.12
Liverpool,GB,53.41,-2.98,1579627803,46.99,100,90,8.05
Yuxia,CN,34.06,108.63,1579627958,41.0,86,52,2.24
Nikolskoye,RU,59.7,30.79,1579627959,37.4,59,59,22.37
Hilo,US,19.73,-155.09,1579627959,68.0,68,90,6.93
Jamestown,US,42.1,-79.24,1579627959,26.6,79,90,5.82
Cabo San Lucas,MX,22.89,-109.91,1579627950,80.01,53,5,6.93
Ostrovnoy,RU,68.05,39.51,1579627961,14.68,99,53,9.26
Udachny,RU,66.42,112.4,1579627688,-29.2,66,66,4.47
Londoko,RU,49.03,131.98,1579627961,0.82,97,100,1.05
Port Elizabeth,ZA,-33.92,25.57,1579627962,68.0,88,90,11.41
Kandrian,PG,-6.22,149.55,1579627962,75.85,90,74,8.57
Mar del Plata,AR,-38.0,-57.56,1579627962,68.0,94,90,9.17
Moose Jaw,CA,50.4,-105.53,1579627962,30.99,80,75,9.17
Port Lincoln,AU,-34.73,135.87,1579627963,69.37,45,100,13.11
Benjamin Aceval,PY,-24.97,-57.57,1579627963,87.8,66,68,6.93
Port Alfred,ZA,-33.59,26.89,1579627963,64.0,98,98,5.01
Arraial do Cabo,BR,-22.97,-42.03,1579627964,82.4,69,40,11.41
'Ewa Beach,US,21.32,-158.01,1579627805,69.8,88,1,4.7
Aksu,CN,41.12,80.26,1579627680,24.13,67,100,2.59
Vardo,NO,70.37,31.11,1579627965,30.2,86,75,33.33
Ciudad Lazaro Cardenas,MX,17.96,-102.2,1579627965,90.01,39,0,2.1
Norman Wells,CA,65.28,-126.83,1579627966,-20.2,75,20,5.82
Walvis Bay,NA,-22.96,14.51,1579627966,77.0,57,1,21.92
Busselton,AU,-33.65,115.33,1579627966,61.0,44,16,10.47
Sao Jose da Coroa Grande,BR,-8.9,-35.15,1579627966,81.55,78,0,13.85
Albany,US,42.6,-73.97,1579627775,25.0,48,75,8.05
Weyburn,CA,49.67,-103.85,1579627967,28.99,77,83,5.99
Raudeberg,NO,61.99,5.14,1579627968,42.01,86,75,11.41
Umm Kaddadah,SD,13.6,26.69,1579627968,61.81,19,2,13.89
Chui,UY,-33.7,-53.46,1579627968,83.97,60,82,9.98
Ambon,ID,-3.7,128.18,1579627968,80.91,77,85,11.21
Carnarvon,AU,-24.87,113.63,1579627969,73.4,83,40,23.04
Stolac,BA,43.08,17.96,1579627969,44.6,41,0,1.12
Acarau,BR,-2.89,-40.12,1579627969,84.78,68,90,8.12
Arzgir,RU,45.37,44.22,1579627969,30.65,75,100,17.9
Rio Gallegos,AR,-51.62,-69.22,1579627970,66.2,39,40,13.87
Seydi,TM,39.48,62.91,1579627970,32.54,57,100,4.21
Mehamn,NO,71.04,27.85,1579627971,33.8,82,75,26.4
Bambanglipuro,ID,-7.95,110.28,1579627971,76.42,86,87,1.12
Avarua,CK,-21.21,-159.78,1579627971,73.4,100,100,4.7
Vao,NC,-22.67,167.48,1579627971,77.83,58,92,8.59
Shahreza,IR,32.03,51.88,1579627972,31.32,85,4,4.97
Puerto Ayora,EC,-0.74,-90.35,1579627972,84.2,62,40,10.29
Thinadhoo,MV,0.53,72.93,1579627972,83.84,79,65,17.56
Deputatsky,RU,69.3,139.9,1579627972,-27.08,93,0,4.52
Kieta,PG,-6.22,155.63,1579627707,80.56,72,41,4.85
Vila,PT,42.03,-8.16,1579627973,54.0,61,32,11.41
Rawson,AR,-43.3,-65.1,1579627973,65.44,66,0,16.44
Chanute,US,37.68,-95.46,1579627973,32.0,79,90,9.17
Tiksi,RU,71.69,128.87,1579627975,-22.65,87,60,4.43
Kenai,US,60.55,-151.26,1579627975,19.4,67,90,3.36
Katsuura,JP,35.13,140.3,1579627975,42.8,52,20,13.87
Urengoy,RU,65.97,78.37,1579627976,-6.9,97,100,13.73
Aklavik,CA,68.22,-135.01,1579627976,-18.4,67,5,4.7
Sisimiut,GL,66.94,-53.67,1579627976,5.88,72,70,3.15
Cape Town,ZA,-33.93,18.42,1579627800,75.99,60,20,12.75
Asau,RO,46.43,26.4,1579627977,37.4,55,47,5.82
Dikson,RU,73.51,80.55,1579627978,-11.94,78,100,23.8
Panjab,AF,34.39,67.02,1579627979,1.18,99,100,3.98
Rabo de Peixe,PT,37.8,-25.58,1579627979,57.2,62,75,14.99
Fortuna,US,40.6,-124.16,1579627980,50.0,87,90,9.17
San Cristobal,VE,7.77,-72.22,1579627891,89.6,52,20,6.93
Brae,GB,60.4,-1.35,1579627981,44.6,75,100,13.87
Ancud,CL,-41.87,-73.82,1579627981,75.2,50,0,14.99
Hithadhoo,MV,-0.6,73.08,1579627831,84.06,79,100,19.01
Kavieng,PG,-2.57,150.8,1579627981,82.71,79,0,13.31
Vila Franca do Campo,PT,37.72,-25.43,1579627982,57.2,62,75,14.99
Akureyri,IS,65.68,-18.09,1579627982,33.8,64,79,12.75
Puerto Narino,CO,-3.77,-70.38,1579627982,84.2,83,75,4.7
Souillac,MU,-20.52,57.52,1579627983,78.8,88,75,1.12
Omboue,GA,-1.57,9.26,1579627983,77.79,92,68,4.05
Barrow,US,71.29,-156.79,1579627983,-9.4,76,20,9.17
Nome,US,64.5,-165.41,1579627984,8.6,92,75,5.82
Shiyan,CN,32.65,110.78,1579627984,35.51,87,45,1.97
Cidreira,BR,-30.18,-50.21,1579627984,74.77,81,18,22.66
East London,ZA,-33.02,27.91,1579627985,71.6,83,100,13.87
Ormara,PK,25.21,64.64,1579627985,70.47,52,38,2.66
Opuwo,NA,-18.06,13.84,1579627985,84.13,34,77,13.89
Suwannaphum,TH,15.6,103.8,1579627986,81.0,64,4,7.78
Cockburn Town,TC,21.46,-71.14,1579627986,80.6,69,40,4.7
Mabaruma,GY,8.2,-59.78,1579627986,86.95,55,100,5.48
Codrington,AU,-38.27,141.97,1579627986,62.91,64,97,14.76
Labuhan,ID,-6.88,112.21,1579627987,76.05,89,87,2.04
Kodiak,US,57.79,-152.41,1579627987,26.6,63,1,10.29
Batticaloa,LK,7.71,81.69,1579627988,74.07,94,20,1.7
Oron,NG,4.83,8.23,1579627988,82.72,66,89,8.23
New Norfolk,AU,-42.78,147.06,1579627988,57.99,82,40,6.93
Airai,TL,-8.93,125.41,1579627989,68.41,77,94,5.61
Jiwani,PK,25.05,61.74,1579627989,70.63,67,0,6.31
Husavik,IS,66.04,-17.34,1579627989,33.8,64,21,12.75
Kayerkan,RU,69.35,87.76,1579627990,-40.0,65,47,11.18
Rudsar,IR,37.14,50.29,1579627990,44.6,87,40,6.46
Picota,PE,-6.92,-76.33,1579627990,89.6,100,40,17.22
Ponta do Sol,PT,32.67,-17.1,1579627745,60.8,63,40,14.99
Pacific Grove,US,36.62,-121.92,1579627991,55.0,76,75,3.36
Mount Gambier,AU,-37.83,140.77,1579627749,57.2,71,100,9.17
Salinopolis,BR,-0.61,-47.36,1579627991,81.37,80,66,20.87
Lebu,CL,-37.62,-73.65,1579627992,74.91,44,0,9.46
Saint George,US,37.1,-113.58,1579627877,46.99,70,90,5.82
Hofn,IS,64.25,-15.21,1579627992,41.27,68,100,16.33
Kopervik,NO,59.28,5.31,1579627993,44.6,75,75,13.87
Bilma,NE,18.69,12.92,1579627993,67.96,15,2,9.28
Carmarthen,GB,51.86,-4.31,1579627994,41.0,92,35,1.99
Zapolyarnyy,RU,69.42,30.81,1579627994,23.0,85,17,38.03
Gelibolu,TR,40.41,26.67,1579627994,35.6,64,49,3.36
Nishihara,JP,26.18,127.76,1579627994,62.6,72,20,4.7
Faanui,PF,-16.48,-151.75,1579627995,81.43,78,93,12.12
Vung Tau,VN,10.35,107.08,1579627995,77.61,72,50,15.88
Bethel,US,41.37,-73.41,1579627995,30.99,45,1,6.93
Tineo,ES,43.34,-6.41,1579627996,48.0,87,90,8.05
Lagoa,PT,39.05,-27.98,1579627996,59.16,70,100,20.98
Bambous Virieux,MU,-20.34,57.76,1579627996,78.8,88,75,1.12
Mexico,PH,15.06,120.72,1579627997,77.0,69,20,5.82
Nelson Bay,AU,-32.72,152.15,1579627997,73.4,83,90,4.7
Luganville,VU,-15.53,167.17,1579627997,69.91,96,43,1.21
Kalmunai,LK,7.42,81.82,1579627863,81.32,80,4,15.79
Tuktoyaktuk,CA,69.45,-133.04,1579627998,-23.8,74,20,9.17
Gisborne,NZ,-38.65,178.0,1579627791,61.0,90,50,1.52
Kem,RU,64.96,34.58,1579627999,27.95,77,100,18.03
Rumoi,JP,43.93,141.64,1579627999,32.9,63,100,25.93
Avera,US,33.19,-82.53,1579627999,39.99,38,1,10.29
Ntcheu,MW,-14.82,34.64,1579628000,60.82,94,100,8.72
Teguise,ES,29.06,-13.56,1579628001,64.4,48,20,8.05
Mahebourg,MU,-20.41,57.7,1579628001,78.8,88,75,1.12
Henties Bay,NA,-22.12,14.28,1579628001,70.0,84,5,7.0
Aljezur,PT,37.32,-8.8,1579628001,59.0,53,7,17.52
Kloulklubed,PW,7.04,134.26,1579628002,75.2,88,40,6.93
'Ahuimanu,US,21.44,-157.84,1579628002,69.8,83,20,3.36
Plettenberg Bay,ZA,-34.05,23.37,1579628002,66.72,85,45,19.86
Srednekolymsk,RU,67.45,153.68,1579628003,-16.31,96,100,11.18
Maningrida,AU,-12.07,134.27,1579628003,84.15,78,100,22.75
Kitimat,CA,54.05,-128.65,1579627708,30.99,86,90,20.8
Lata,PT,40.16,-8.33,1579628004,55.99,47,20,10.29
San Patricio,MX,19.22,-104.7,1579628004,84.2,70,40,6.93
Richmond,US,37.55,-77.46,1579627895,35.01,31,1,6.93
Ulladulla,AU,-35.35,150.47,1579628004,63.0,100,6,4.7
Metro,ID,-5.11,105.31,1579628005,78.08,88,100,5.79
Cap Malheureux,MU,-19.98,57.61,1579628005,78.8,88,75,1.12
Qashyr,KZ,53.07,76.1,1579628005,10.65,95,93,6.55
Ahipara,NZ,-35.17,173.17,1579628005,57.0,100,26,8.68
Redcliffe,AU,-27.23,153.1,1579628006,75.0,88,46,5.82
Pisco,PE,-13.7,-76.22,1579628006,72.0,30,90,6.93
Yamethin,MM,20.43,96.15,1579628006,64.51,38,6,4.25
Beipiao,CN,41.79,120.78,1579628007,15.64,74,33,0.51
Fort Nelson,CA,58.81,-122.7,1579627820,-11.2,83,20,1.5
Cheney,US,47.49,-117.58,1579628007,36.0,100,90,6.93
Cururupu,BR,-1.83,-44.87,1579628007,80.71,90,34,4.56
Upernavik,GL,72.79,-56.15,1579628008,3.94,69,100,4.72
Nuuk,GL,64.18,-51.72,1579628008,24.8,85,90,6.93
Jalu,LY,29.03,21.55,1579628008,55.51,53,8,7.54
Taoudenni,ML,22.68,-3.98,1579628008,68.13,20,0,2.89
Samarai,PG,-10.62,150.67,1579628009,77.0,82,11,4.14
Chota,PE,-6.55,-78.65,1579628009,71.6,46,40,8.05
Provideniya,RU,64.38,-173.3,1579628009,-0.87,96,100,2.15
Talnakh,RU,69.49,88.4,1579628010,-40.0,65,81,11.18
Sirte,LY,31.21,16.59,1579628010,54.95,73,33,17.36
Aizawl,IN,23.73,92.72,1579628011,51.57,58,34,3.22
Porto-Novo,BJ,6.5,2.6,1579628011,86.0,66,20,9.17
La Macarena,CO,2.18,-73.78,1579628011,91.2,46,75,4.97
Rocha,UY,-34.48,-54.33,1579628012,89.04,41,77,13.18
Te Anau,NZ,-45.42,167.72,1579628012,54.25,85,100,3.87
Sao Filipe,CV,14.9,-24.5,1579628012,71.56,73,49,7.92
Sokolo,ML,14.73,-6.12,1579628013,84.02,12,87,1.63
Mezotur,HU,47.0,20.63,1579628013,32.0,100,90,4.7
Sakakah,SA,29.97,40.21,1579628013,44.6,75,40,12.75
Ranong,TH,9.97,98.63,1579628014,78.15,83,0,6.15
Necochea,AR,-38.55,-58.74,1579628014,69.01,87,74,5.01
The Valley,AI,18.22,-63.06,1579628014,80.6,61,75,16.11
Jutai,BR,-5.18,-68.9,1579628014,92.44,49,97,3.91
Wewak,PG,-3.55,143.63,1579628015,77.27,88,100,11.07
Biltine,TD,14.53,20.92,1579628015,68.88,14,14,13.53
Hohhot,CN,40.81,111.65,1579628016,5.0,84,6,4.47
Bengkulu,ID,-3.8,102.27,1579628016,75.92,88,99,4.25
Pevek,RU,69.7,170.31,1579628016,-15.66,97,100,2.59
Brownfield,US,33.18,-102.27,1579627800,46.4,42,40,26.4
Iquique,CL,-20.22,-70.14,1579628004,78.8,54,74,17.22
Manono,CD,-7.3,27.42,1579628017,72.55,91,100,1.23
Flin Flon,CA,54.77,-101.86,1579628017,12.2,85,20,4.7
Yar-Sale,RU,66.83,70.83,1579628018,-0.58,94,100,16.31
Ambilobe,MG,-13.2,49.05,1579628018,79.34,89,100,8.03
Puerto Asis,CO,0.51,-76.5,1579628018,84.2,74,75,3.36
Esperance,AU,-33.87,121.9,1579628018,59.0,67,40,12.75
Kaiserslautern,DE,49.45,7.75,1579628019,36.0,80,0,6.93
Abnub,EG,27.27,31.15,1579628019,57.2,50,0,17.22
Oloron-Sainte-Marie,FR,43.19,-0.61,1579628019,46.4,75,90,10.29
Belgrade,RS,44.8,20.47,1579628020,37.4,69,75,1.12
Harboore,DK,56.62,8.18,1579628020,44.6,93,75,11.41
Cornwall,CA,45.02,-74.73,1579628021,15.01,66,1,10.29
Mumbwa,ZM,-14.98,27.06,1579628021,67.6,97,99,4.7
Viedma,AR,-40.81,-63.0,1579628022,92.71,15,0,11.86
Santa Isabel,BR,-23.32,-46.22,1579628022,82.4,51,40,3.36
Torbay,CA,47.67,-52.73,1579628022,26.01,79,90,9.17
Dzerzhinsk,RU,56.24,43.46,1579628022,34.0,100,90,11.18
Santa Rosa,PH,14.31,121.11,1579628023,77.0,73,20,6.93
Karachi,PK,24.91,67.08,1579627839,62.6,48,37,6.93
Nantucket,US,41.28,-70.1,1579627807,30.99,54,1,14.99
Rome,US,43.21,-75.46,1579628024,25.0,57,75,7.31
Borogontsy,RU,62.67,131.17,1579628024,-23.82,98,99,1.59
Panaba,MX,21.28,-88.27,1579628024,72.52,60,57,14.0
Bertoua,CM,4.58,13.68,1579628024,82.09,24,89,3.0
Nemuro,JP,43.32,145.57,1579628025,25.36,69,79,17.45
Paciran,ID,-6.88,112.38,1579628025,76.23,91,89,3.33
Kahului,US,20.89,-156.47,1579628025,69.01,87,20,4.7
Broome,US,42.25,-75.83,1579628026,26.01,62,75,6.93
Flinders,AU,-34.58,150.86,1579628026,71.01,100,0,4.7
Duncan,US,34.5,-97.96,1579628002,39.99,60,1,11.41
Yashkul,RU,46.17,45.34,1579628027,32.04,72,100,13.96
Puerto Escondido,MX,15.85,-97.07,1579627800,87.8,35,5,6.93
Botwood,CA,49.15,-55.35,1579628027,15.8,72,75,14.99
Marawi,PH,8.0,124.29,1579628028,69.01,88,75,5.99
Lewistown,US,40.6,-77.57,1579627951,30.99,58,75,5.82
Tigil,RU,57.8,158.67,1579628028,7.0,95,100,5.3
Kaili,ID,-3.46,120.21,1579628029,60.75,91,98,2.71
Sur,OM,22.57,59.53,1579628029,68.58,69,7,5.77
Lashio,MM,22.93,97.75,1579628030,53.11,63,75,2.1
Port Blair,IN,11.67,92.75,1579628030,81.1,81,0,14.83
Lompoc,US,34.64,-120.46,1579628030,57.0,93,1,4.7
Salinas,US,36.68,-121.66,1579628030,55.0,87,1,4.47
Gongzhuling,CN,43.5,124.82,1579628031,18.16,86,17,10.33
Nerchinskiy Zavod,RU,51.31,119.61,1579628031,-15.75,95,0,3.89
Castro Daire,PT,40.9,-7.93,1579628031,59.0,44,75,11.41
Hobyo,SO,5.35,48.53,1579628032,77.2,77,40,19.93
Cangzhou,CN,38.32,116.87,1579628032,33.89,76,93,2.24
Yokadouma,CM,3.52,15.05,1579628032,80.8,25,17,2.53
Noyabrsk,RU,63.2,75.45,1579628032,-5.89,90,94,18.01
Sivaki,RU,52.63,126.75,1579628033,-10.8,98,100,3.33
Pakxan,LA,18.38,103.66,1579628033,68.99,71,0,3.53
Bissau,GW,11.86,-15.6,1579628033,93.2,20,96,4.7
Beringovskiy,RU,63.05,179.32,1579628034,-7.62,99,55,12.82
Maragogi,BR,-9.01,-35.22,1579627764,81.55,78,0,13.85
Aleksandrov Gay,RU,50.15,48.57,1579628034,28.69,93,100,16.89
Koltsovo,RU,54.94,83.18,1579628034,-11.2,83,0,4.47
Nouadhibou,MR,20.93,-17.03,1579628035,69.8,60,0,12.75
Blackfoot,US,43.19,-112.34,1579628035,36.0,80,75,3.36
Half Moon Bay,US,37.46,-122.43,1579628035,57.99,81,90,19.46
Iqaluit,CA,63.75,-68.51,1579627918,-23.01,67,20,4.7
Komsomolskoye,RU,55.26,47.55,1579628036,33.82,98,97,17.13
Vrangel,RU,42.73,133.08,1579628036,33.89,86,80,5.21
Guerrero Negro,MX,27.98,-114.06,1579628037,59.31,77,100,3.42
Touros,BR,-5.2,-35.46,1579628037,86.0,66,75,16.11
Rive-de-Gier,FR,45.53,4.62,1579628037,37.4,80,100,0.38
La Espigadilla,PA,7.88,-80.38,1579628037,86.0,70,40,9.17
Kiryat Gat,IL,31.61,34.76,1579627980,48.2,93,75,5.82
Kashan,IR,33.98,51.44,1579627924,42.03,65,39,3.53
Linguere,SN,15.4,-15.12,1579628038,90.07,8,100,6.04
Broken Hill,AU,-31.95,141.43,1579627857,69.8,28,1,8.05
Nanortalik,GL,60.14,-45.24,1579628040,28.45,97,100,14.47
Yangi Marg`ilon,UZ,40.43,71.72,1579628040,33.8,74,100,0.92
Dingle,PH,11.0,122.67,1579628040,70.97,89,51,12.33
Laguna,US,38.42,-121.42,1579628041,53.01,87,90,5.82
Gualeguaychu,AR,-33.01,-58.52,1579628041,79.0,85,23,8.01
Zruc nad Sazavou,CZ,49.74,15.11,1579628041,30.99,92,90,4.7
Boali,CF,4.8,18.13,1579628042,93.2,26,42,2.24
Black River,JM,18.03,-77.85,1579628042,82.4,69,20,5.82
Ziro,IN,27.63,93.83,1579628042,44.11,92,75,1.63
Chicama,PE,-7.84,-79.15,1579628043,73.4,83,75,6.93
Laibin,CN,23.7,109.27,1579628043,61.83,87,28,5.19
Clyde River,CA,70.47,-68.59,1579628043,-7.6,83,90,39.15
Kiruna,SE,67.86,20.23,1579628043,26.6,73,1,11.41
Halifax,CA,44.65,-63.57,1579627948,19.99,61,20,11.41
Teeli,RU,51.03,90.23,1579628044,-1.16,69,86,4.45
Doka,SD,13.52,35.77,1579628044,71.46,26,39,10.78
Ukiah,US,39.15,-123.21,1579628045,54.0,93,90,9.17
Kununurra,AU,-15.77,128.73,1579628045,75.2,100,100,6.93
Tomatlan,MX,19.93,-105.25,1579628045,82.47,46,88,1.79
Tias,ES,28.96,-13.64,1579628045,64.4,48,20,8.05
Tautira,PF,-17.73,-149.15,1579628046,80.6,78,75,5.82
Konitsa,GR,40.05,20.76,1579628046,28.24,37,0,4.41
Sorland,NO,67.67,12.69,1579628047,35.6,80,40,38.03
Kang,BW,-23.68,22.79,1579628047,83.75,35,64,2.21
Krasnyy Chikoy,RU,50.36,108.75,1579628047,-11.9,98,86,2.35
Cerrito,CO,6.84,-72.69,1579628048,77.0,78,40,4.72
Burnie,AU,-41.07,145.92,1579628048,53.01,95,7,4.76
Faya,SA,18.39,42.45,1579628048,55.4,81,40,6.93
Serebryansk,KZ,49.69,83.29,1579628048,23.0,92,90,8.95
Cusuna,HN,15.85,-85.23,1579628049,77.23,81,28,11.43
Meulaboh,ID,4.14,96.13,1579628049,83.17,75,80,3.58
Verkhoyansk,RU,67.54,133.38,1579628049,-32.73,100,85,1.57
Camocim,BR,-2.9,-40.84,1579628050,81.43,81,81,5.08
Laas,IT,46.62,10.7,1579628050,34.0,63,5,4.5
Chennai,IN,13.09,80.28,1579627824,80.01,73,20,4.7
Vila Praia de Ancora,PT,41.81,-8.85,1579628051,57.2,61,40,11.41
Katherine,AU,-14.47,132.27,1579628051,77.0,94,90,8.05
Holme,DK,56.11,10.17,1579628051,46.4,81,87,20.8
Hervey Bay,AU,-25.3,152.85,1579628052,80.01,88,97,9.17
Hasaki,JP,35.73,140.83,1579628052,32.0,80,20,2.24
Portland,US,45.52,-122.68,1579628021,46.99,75,75,10.29
Hualmay,PE,-11.1,-77.61,1579628053,81.34,56,71,10.78
Khani,GE,41.96,42.96,1579628053,41.0,93,90,9.17
Kokopo,PG,-4.35,152.26,1579628053,80.89,78,12,11.3
Zhigansk,RU,66.77,123.37,1579628054,-22.29,97,99,11.32
Mayumba,GA,-3.43,10.66,1579628054,81.55,78,67,9.86
Ubari,LY,26.59,12.78,1579628054,59.38,27,59,9.78
Sao Joao da Barra,BR,-21.64,-41.05,1579628054,78.8,69,90,4.7
Sydney,AU,-33.87,151.21,1579627955,70.0,83,20,3.18
Staryy Nadym,RU,65.61,72.68,1579628055,-3.44,88,100,14.97
Mattru,SL,7.62,-11.83,1579628055,85.01,64,27,9.22
Pimentel,PE,-6.84,-79.93,1579628055,66.2,29,6,9.17
Mouila,GA,-1.87,11.06,1579628056,76.91,93,79,3.51
Gilgit,PK,35.92,74.31,1579628056,7.05,80,93,4.81
San Policarpo,PH,12.18,125.51,1579628057,77.11,81,47,19.62
Garoowe,SO,8.41,48.48,1579628057,76.44,44,68,19.51
Cubarral,CO,3.79,-73.84,1579628057,84.2,66,75,3.36
Vilyuysk,RU,63.76,121.62,1579628058,-24.77,99,13,5.26
Lorengau,PG,-2.02,147.27,1579628059,82.85,77,66,14.03
Gillette,US,44.29,-105.5,1579628004,46.99,48,1,6.93
Mossamedes,AO,-15.2,12.15,1579628059,80.6,74,20,23.04
Bandarbeyla,SO,9.49,50.81,1579628060,76.57,78,21,23.2
Tiznit,MA,29.58,-9.5,1579628060,49.41,73,93,7.02
Honningsvag,NO,70.98,25.97,1579628060,33.8,80,75,32.21
Koryazhma,RU,61.31,47.17,1579628060,32.83,97,100,12.24
Kirakira,SB,-10.45,161.92,1579628061,77.2,82,26,3.11
Huarmey,PE,-10.07,-78.15,1579628061,81.73,55,49,12.55
Kahta,TR,37.79,38.62,1579628061,35.6,74,0,9.17
Maceio,BR,-9.67,-35.74,1579628062,89.6,52,20,17.22
Freeport,US,40.66,-73.58,1579627924,32.0,36,1,13.87
Egvekinot,RU,66.32,-179.17,1579628063,-13.2,97,100,4.72
Kampot,KH,10.62,104.18,1579627958,77.0,88,96,2.24
Bukene,TZ,-4.23,32.88,1579628063,68.45,68,92,3.53
Vestmannaeyjar,IS,63.44,-20.27,1579628063,41.0,86,90,11.41
Los Llanos de Aridane,ES,28.66,-17.92,1579628064,59.0,77,75,13.87
Grants,US,35.15,-107.85,1579627988,33.8,99,90,8.05
Namestovo,SK,49.41,19.48,1579628064,30.99,86,76,2.24
Oodweyne,SO,9.41,45.06,1579628065,64.24,62,20,6.22
Stranda,NO,62.31,6.94,1579628065,41.0,80,75,28.86
Nchelenge,ZM,-9.35,28.73,1579628066,75.69,79,97,4.21
Sitka,US,57.05,-135.33,1579627983,37.4,93,90,3.36
Tokur,RU,53.13,132.9,1579628066,-18.47,98,100,2.04
Luwingu,ZM,-10.26,29.93,1579628066,67.24,96,100,3.69
Puerto Leguizamo,CO,-0.19,-74.78,1579628067,93.67,44,36,3.44
Sinnamary,GF,5.38,-52.95,1579628067,79.23,76,80,12.95
Isangel,VU,-19.55,169.27,1579628067,74.64,69,35,10.29
